Date,N1,N2,N3,N4,N5,FireBall
26.01.2016,4,12,17,32,35,10
22.01.2016,4,11,19,21,28,4
19.01.2016,4,6,21,25,27,8
15.01.2016,7,19,20,24,29,10
12.01.2016,7,13,21,32,35,3
08.01.2016,2,6,16,24,31,2
05.01.2016,2,7,13,15,20,4
29.12.2015,10,16,21,26,30,6
22.12.2015,6,14,21,31,35,4
18.12.2015,2,11,21,26,35,5
15.12.2015,9,14,15,29,33,6
11.12.2015,8,21,23,24,32,2
08.12.2015,9,20,22,24,33,6
04.12.2015,3,16,19,28,31,1
01.12.2015,2,6,12,16,22,2
27.11.2015,6,8,18,30,34,8
24.11.2015,9,10,13,14,21,6
20.11.2015,3,5,14,22,32,1
17.11.2015,4,14,21,30,33,1
13.11.2015,6,13,19,21,27,10
10.11.2015,6,17,19,27,31,3
06.11.2015,10,14,16,27,32,1
03.11.2015,1,3,5,11,17,6
30.10.2015,3,6,10,24,33,4
27.10.2015,2,7,17,21,22,9
23.10.2015,8,10,13,15,34,9
20.10.2015,7,13,20,22,24,3
16.10.2015,12,13,21,24,33,5
13.10.2015,7,10,11,12,25,2
09.10.2015,3,6,16,24,28,9
06.10.2015,2,4,19,23,35,3
02.10.2015,3,14,17,19,26,4
29.09.2015,8,9,13,18,30,9
25.09.2015,7,9,20,32,33,1
22.09.2015,2,11,14,28,31,4
18.09.2015,8,19,25,28,35,7
15.09.2015,18,22,28,29,31,6
11.09.2015,2,5,10,12,13,7
08.09.2015,7,8,16,21,29,7
04.09.2015,5,12,27,28,29,6
01.09.2015,1,23,25,26,31,5
28.08.2015,10,15,20,22,27,1
25.08.2015,3,21,24,27,35,10
21.08.2015,3,10,30,33,35,8
18.08.2015,7,17,19,29,33,5
14.08.2015,5,11,17,23,30,9
11.08.2015,9,14,22,28,32,5
07.08.2015,7,11,15,17,26,4
04.08.2015,15,22,28,29,34,7
31.07.2015,3,10,22,26,30,3
28.07.2015,8,14,26,28,34,4
24.07.2015,7,19,21,25,33,10
21.07.2015,6,12,13,22,35,6
17.07.2015,6,7,12,27,33,8
14.07.2015,3,6,15,24,30,9
10.07.2015,19,22,29,30,33,1
07.07.2015,9,17,20,26,31,1
03.07.2015,13,20,22,27,33,7
30.06.2015,9,15,29,32,34,3
26.06.2015,8,13,21,22,33,3
23.06.2015,2,9,25,31,32,1
19.06.2015,11,16,22,28,32,4
16.06.2015,3,8,15,21,28,2
12.06.2015,5,16,22,31,34,1
09.06.2015,1,4,5,14,22,2
02.06.2015,7,19,25,33,35,3
29.05.2015,1,9,12,15,25,9
26.05.2015,9,15,19,26,35,7
22.05.2015,7,12,13,24,30,3
19.05.2015,13,14,17,24,28,9
15.05.2015,3,9,18,22,34,3
12.05.2015,7,9,19,21,24,4
08.05.2015,3,16,19,26,28,8
06.05.2015,1,5,15,18,26,10
05.05.2015,4,14,21,24,28,8
01.05.2015,3,4,5,21,25,3
28.04.2015,9,13,14,25,27,5
24.04.2015,15,24,25,33,34,2
21.04.2015,1,14,15,26,30,10
17.04.2015,2,3,14,15,18,10
14.04.2015,8,9,25,29,30,10
10.04.2015,6,12,20,27,30,5
07.04.2015,15,18,19,25,32,9
31.03.2015,6,15,21,22,25,9
27.03.2015,2,3,7,13,31,2
24.03.2015,15,17,19,20,34,5
20.03.2015,7,8,11,25,28,1
17.03.2015,7,8,9,11,13,9
13.03.2015,8,12,21,25,29,6
10.03.2015,3,5,14,16,32,2
06.03.2015,2,9,15,28,35,2
03.03.2015,6,15,19,21,24,2
27.02.2015,4,7,19,21,32,4
24.02.2015,1,9,14,21,30,1
20.02.2015,9,16,19,30,33,7
17.02.2015,5,15,27,28,31,4
13.02.2015,7,9,11,12,34,3
10.02.2015,7,13,16,21,24,9
06.02.2015,3,5,11,18,19,6
03.02.2015,1,4,6,23,25,7
30.01.2015,10,14,15,18,32,9
27.01.2015,2,6,7,13,25,6
23.01.2015,1,2,7,18,19,1
20.01.2015,5,8,14,23,29,10
16.01.2015,8,17,20,28,30,3
13.01.2015,10,16,17,24,31,1
09.01.2015,15,26,30,34,35,9
06.01.2015,4,9,23,29,32,4
02.01.2015,1,11,22,23,32,8
30.12.2014,7,8,10,14,18,4
26.12.2014,6,7,9,29,33,1
23.12.2014,5,9,20,25,31,3
19.12.2014,4,8,18,24,34,7
16.12.2014,11,12,23,24,30,5
12.12.2014,3,7,15,20,25,6
09.12.2014,1,5,16,19,28,9
05.12.2014,12,18,23,28,30,1
02.12.2014,12,15,16,23,29,9
28.11.2014,1,5,15,27,31,5
25.11.2014,14,19,21,26,28,4
21.11.2014,8,23,30,32,33,5
18.11.2014,13,17,20,33,34,9
14.11.2014,4,9,21,31,35,6
11.11.2014,9,12,13,21,30,2
07.11.2014,5,22,23,25,29,6
04.11.2014,4,6,10,24,32,5
31.10.2014,3,6,19,23,25,6
28.10.2014,9,15,20,25,32,9
24.10.2014,8,15,16,28,35,2
21.10.2014,5,11,14,31,32,8
17.10.2014,13,17,29,30,32,5
14.10.2014,16,20,24,28,30,6
10.10.2014,3,5,6,13,15,5
07.10.2014,1,10,18,22,27,8
03.10.2014,1,3,7,12,29,3
30.09.2014,2,6,16,28,35,9
26.09.2014,3,4,18,21,30,5
23.09.2014,3,7,11,30,35,10
19.09.2014,2,6,20,30,33,6
16.09.2014,9,10,21,23,35,1
12.09.2014,5,15,23,26,28,7
09.09.2014,2,3,9,19,27,6
05.09.2014,1,11,15,20,35,5
02.09.2014,5,7,14,23,35,7
29.08.2014,11,20,26,31,33,1
26.08.2014,11,13,21,25,30,5
22.08.2014,1,5,10,17,21,10
19.08.2014,1,19,29,34,35,9
15.08.2014,7,9,10,18,26,3
12.08.2014,11,14,15,20,25,10
08.08.2014,1,9,16,26,35,7
05.08.2014,2,4,11,31,33,7
01.08.2014,17,19,23,29,33,5
29.07.2014,8,9,10,18,34,10
25.07.2014,3,4,8,20,25,7
22.07.2014,17,19,20,28,29,2
18.07.2014,8,10,26,29,34,8
15.07.2014,4,6,18,27,30,2
11.07.2014,9,15,18,24,35,10
08.07.2014,1,23,26,29,30,7
04.07.2014,2,12,23,33,34,6
01.07.2014,6,7,10,19,26,6
27.06.2014,1,14,22,24,33,1
24.06.2014,5,19,20,22,34,5
20.06.2014,4,13,24,26,31,2
17.06.2014,5,7,12,26,32,2
13.06.2014,3,13,21,27,31,5
10.06.2014,7,10,12,18,27,10
06.06.2014,8,9,19,21,29,7
03.06.2014,1,11,24,28,31,1
30.05.2014,5,9,13,14,25,2
27.05.2014,16,20,26,27,33,8
23.05.2014,20,21,23,29,31,2
20.05.2014,1,6,11,22,26,4
16.05.2014,6,9,12,14,24,4
13.05.2014,6,7,18,19,22,3
09.05.2014,6,11,21,27,29,6
06.05.2014,9,13,19,30,35,10
02.05.2014,2,6,12,24,25,7
29.04.2014,1,10,29,32,34,6
25.04.2014,6,7,16,22,27,7
22.04.2014,8,9,18,22,27,9
15.04.2014,4,8,17,24,26,7
11.04.2014,4,11,19,28,34,7
08.04.2014,3,7,25,27,35,6
04.04.2014,13,18,24,29,35,5
01.04.2014,5,18,23,26,32,1
28.03.2014,4,14,17,23,27,4
25.03.2014,5,12,13,23,35,4
21.03.2014,3,6,14,18,33,5
18.03.2014,3,7,15,18,34,5
14.03.2014,6,8,15,19,30,5
11.03.2014,2,6,14,18,35,2
07.03.2014,1,4,7,9,13,4
04.03.2014,4,7,14,23,27,1
28.02.2014,14,23,29,31,33,7
25.02.2014,13,17,25,29,35,8
21.02.2014,10,14,32,33,35,5
18.02.2014,8,10,13,24,29,2
14.02.2014,4,7,11,19,30,1
11.02.2014,7,11,13,24,33,8
07.02.2014,3,4,6,24,34,10
04.02.2014,6,8,15,27,35,3
31.01.2014,5,8,15,17,31,2
