Date,N1,N2,N3,N4,N5,FireBall
2015-05-22,7,12,13,24,30,3
2015-05-26,9,15,19,26,35,7
2015-05-29,1,9,12,15,25,9
2015-06-02,7,19,25,33,35,3
2015-06-09,1,4,5,14,22,2
2015-06-12,5,16,22,31,34,1
2015-06-16,3,8,15,21,28,2
2015-06-19,11,16,22,28,32,4
2015-06-23,2,9,25,31,32,1
2015-06-26,8,13,21,22,33,3
2015-06-30,9,15,29,32,34,3
2015-07-03,13,20,22,27,33,7
2015-07-07,9,17,20,26,31,1
2015-07-10,19,22,29,30,33,1
2015-07-14,3,6,15,24,30,9
2015-07-17,6,7,12,27,33,8
2015-07-21,6,12,13,22,35,6
2015-07-24,7,19,21,25,33,10
2015-07-28,8,14,26,28,34,4
2015-07-31,3,10,22,26,30,3
2015-08-04,15,22,28,29,34,7
2015-08-07,7,11,15,17,26,4
2015-08-11,9,14,22,28,32,5
2015-08-14,5,11,17,23,30,9
2015-08-18,7,17,19,29,33,5
2015-08-21,3,10,30,33,35,8
2015-08-25,3,21,24,27,35,10
2015-08-28,10,15,20,22,27,1
2015-09-01,1,23,25,26,31,5
2015-09-04,5,12,27,28,29,6
2015-09-08,7,8,16,21,29,7
2015-09-11,2,5,10,12,13,7
2015-09-15,18,22,28,29,31,6
2015-09-18,8,19,25,28,35,7
2015-09-22,2,11,14,28,31,4
2015-09-25,7,9,20,32,33,1
2015-09-29,8,9,13,18,30,9
2015-10-02,3,14,17,19,26,4
2015-10-06,2,4,19,23,35,3
2015-10-09,3,6,16,24,28,9
2015-10-13,7,10,11,12,25,2
2015-10-16,12,13,21,24,33,5
2015-10-20,7,13,20,22,24,3
2015-10-23,8,10,13,15,34,9
2015-10-27,2,7,17,21,22,9
2015-10-30,3,6,10,24,33,4
2015-11-03,1,3,5,11,17,6
2015-11-06,10,14,16,27,32,1
2015-11-10,6,17,19,27,31,3
2015-11-13,6,13,19,21,27,10
2015-11-17,4,14,21,30,33,1
2015-11-20,3,5,14,22,32,1
2015-11-24,9,10,13,14,21,6
2015-11-27,6,8,18,30,34,8
2015-12-01,2,6,12,16,22,2
2015-12-04,3,16,19,28,31,1
2015-12-08,9,20,22,24,33,6
2015-12-11,8,21,23,24,32,2
2015-12-15,9,14,15,29,33,6
2015-12-18,2,11,21,26,35,5
2015-12-22,6,14,21,31,35,4
2015-12-29,10,16,21,26,30,6
2016-01-05,2,7,13,15,20,4
2016-01-08,2,6,16,24,31,2
2016-01-12,7,13,21,32,35,3
2016-01-15,7,19,20,24,29,10
2016-01-19,4,6,21,25,27,8
2016-01-22,4,11,19,21,28,4
2016-01-26,4,12,17,32,35,10
2016-01-29,2,3,11,13,21,8
2016-02-02,1,5,12,17,34,3
2016-02-05,7,12,18,34,35,7
2016-02-09,6,8,15,22,28,6
2016-02-12,3,4,6,9,16,7
2016-02-16,7,18,19,23,31,7
2016-02-19,7,8,11,25,29,10
2016-02-23,2,5,21,29,33,3
2016-02-26,9,16,21,32,33,2
2016-03-01,15,27,29,30,34,1
2016-03-04,6,10,11,15,31,2
2016-03-08,14,16,19,31,34,1
2016-03-11,10,15,22,23,25,6
2016-03-15,10,11,13,14,20,3
2016-03-18,12,14,19,27,35,9
2016-03-22,1,17,22,23,25,7
2016-03-29,5,14,21,28,32,8
2016-04-01,3,4,6,22,27,1
2016-04-05,4,13,23,25,29,6
2016-04-08,17,25,29,30,31,7
2016-04-12,4,21,22,28,33,4
2016-04-15,2,6,11,15,18,8
2016-04-19,3,6,10,11,28,2
2016-04-22,18,19,29,32,33,5
2016-04-26,1,12,17,24,35,9
2016-04-29,3,8,27,29,31,3
2016-05-03,2,19,25,34,35,6
2016-05-06,4,5,12,22,25,8
2016-05-10,3,11,15,17,29,1
2016-05-13,11,12,16,26,28,1
2016-05-17,3,8,23,29,32,6
2016-05-20,12,18,21,22,33,4
2016-05-24,8,16,19,21,22,4
2016-05-27,6,15,23,25,35,10
2016-05-31,6,10,21,22,24,1
2016-06-03,2,13,17,22,30,7
2016-06-07,5,7,13,23,31,6
2016-06-10,9,16,18,27,34,10
2016-06-14,19,23,24,29,34,8
2016-06-17,8,13,19,20,35,1
2016-06-21,11,22,23,24,25,5
2016-06-24,6,15,17,29,34,3
2016-06-28,4,6,14,31,35,6
2016-07-01,5,20,24,25,30,4
2016-07-05,4,9,14,23,32,10
2016-07-08,7,12,14,27,31,10
2016-07-12,8,26,28,30,32,6
2016-07-15,6,7,9,16,26,4
2016-07-19,1,15,17,24,28,5
2016-07-22,3,6,8,10,14,6
2016-07-26,8,23,30,31,35,10
2016-07-29,5,17,24,26,31,9
2016-08-02,1,17,19,29,33,2
2016-08-05,7,8,10,16,20,10
2016-08-09,6,8,15,21,25,5
2016-08-12,1,3,9,27,33,1
2016-08-16,8,9,22,23,34,4
2016-08-19,8,11,13,27,28,4
2016-08-23,8,12,15,23,27,10
2016-08-26,1,4,12,13,34,6
2016-08-30,10,20,24,27,28,3
2016-09-02,6,9,10,20,27,7
2016-09-06,4,9,10,16,29,2
2016-09-09,9,13,14,22,28,3
2016-09-13,13,21,24,31,33,10
2016-09-16,4,12,14,16,23,5
2016-09-20,7,12,17,28,34,3
2016-09-23,10,15,17,22,30,6
2016-09-27,5,6,11,19,21,5
2016-09-30,4,14,18,21,24,3
2016-10-04,4,7,12,19,26,8
2016-10-07,2,5,15,20,26,6
2016-10-11,5,13,22,24,27,1
2016-10-14,3,10,13,27,34,5
2016-10-18,4,12,18,27,28,7
2016-10-21,1,3,8,14,32,10
2016-10-26,1,12,14,18,21,2
2016-10-28,1,19,26,27,32,3
2016-11-01,1,6,15,17,22,1
2016-11-04,5,9,15,21,23,4
